domain;rank;blocked;IP;country;city;lat;long;siteDesc
facebook.com;2;3;173.252.110.27;US;Menlo Park;37.459;-122.1781;A social utility that connects people, to keep up with friends, upload photos, share links and videos.
youtube.com;3;2;74.125.235.142;US;Mountain View;37.4192;-122.0574;YouTube is a way to get your videos to the people who matter to you. Upload, tag and share your videos worldwide!
twitter.com;8;3;199.59.148.10;US;San Francisco;37.7697;-122.3933;Social networking and microblogging service utilising instant messaging, SMS or a web interface.
blogspot.com;15;1;74.125.128.191;US;Mountain View;37.4192;-122.0574;
wordpress.com;18;1;66.155.11.243;US;San Francisco;37.7484;-122.4156;Free blogs managed by the developers of the WordPress software. Includes custom design templates, integrated statistics, automatic spam protection and other features.
tumblr.com;35;1;66.6.40.38;US;New York;40.7391;-73.9826;A description has not been provided for this site.
xvideos.com;43;1;69.55.52.253;US;New York;40.7267;-73.9981;A description has not been provided for this site.
xhamster.com;56;1;88.208.24.57;NL;Amsterdam;52.35;4.9167;xHamster is a community of open-minded people. Our site contains adult videos, photos, dating, flash games and live sex cams.
blogger.com;63;2;74.125.128.191;US;Mountain View;37.4192;-122.0574;Free, automated weblog publishing tool that sends updates to a site via FTP.
fc2.com;65;1;54.200.245.58;US;Boardman;45.7788;-119.529;無料ブログ(blog)、ホームページサービス、ウェブアプリケーション各種など
googleusercontent.com;73;2;173.194.117.170;US;Mountain View;37.4192;-122.0574;A description has not been provided for this site.
pornhub.com;80;1;31.192.117.132;NL;None;52.5;5.75;Please contact dice[/at/]pornhub[/dot/]com for any inquiries.
blogspot.in;91;1;74.125.128.191;US;Mountain View;37.4192;-122.0574;A description has not been provided for this site.
dailymotion.com;93;1;195.8.215.136;FR;None;48.86;2.35;On demand video publishing and sharing website, strongly interfaced with video blogs.
vimeo.com;97;1;107.162.133.18;US;Belmont;37.5081;-122.301;Vimeo is the home for high-quality videos and the people who love them.
redtube.com;106;1;62.212.83.1;NL;None;52.5;5.75;A description has not been provided for this site.
dropbox.com;112;1;108.160.165.62;US;San Francisco;37.7794;-122.417;Store, synchronize and share files online with public access. Free version offers up to 16 GB. Provides a desktop client for Windows, Mac, and Linux, and has apps for iPhone, iPad, Android, and BlackBerry.
youporn.com;118;1;31.192.116.24;NL;None;52.5;5.75;Users can watch streamed clips and upload their own videos. Premium accounts are also available.
pixnet.net;119;1;103.23.108.107;TW;None;23.5;121.0;台灣最大社群網站及內容創作平台，以提供免費相簿與部落格服務為主，擁有優質的社群內容，以及與各界合作不斷推出多樣化活動，讓網友更能迅速獲得社群間流傳的發燒資訊與貼心互動。 會員服務：部落格、相簿、社群商務服務開發、應用市集、好康活動、多元頻道資訊。
slideshare.net;121;1;108.174.2.100;US;Mountain View;37.4192;-122.0574;SlideShare is the world's largest community for sharing presentations. With 50 million monthly visitors and 90 million pageviews, it is amongst the most visited 250 websites in the world. Besides presentations, SlideShare also supports documents, PDFs, videos and webinars.
