Domain,Rank,Category,Language,SLD,SLD Rank,SLD Category,SLD Language,DNS,HTTP,IP,IP Details,,,,
,,,,,,,,,,,IP,Blocked,Country,City,Lat/Long
indianroots.com,86280,,,indianroots.com,86280,,,N,N,Y,184.168.221.7,Y,US,Scottsdale,33.6119/-111.8906
evxonline.net,86282,,,evxonline.net,86282,,,N,N,Y,62.210.196.170,Y,FR,None,48.86/2.35
purecfnm.com,86331,,,purecfnm.com,86331,,,N,Y,N,99.192.254.198,N,US,Franklin,42.5181/-83.263
raidcall.com.tw,86368,,,raidcall.com.tw,86368,,,Y,Y,N,211.72.192.18,N,TW,None,23.5/121.0
www.cobbk12.org,,,,cobbk12.org,86371,,,N,N,Y,67.211.8.18,Y,US,Marietta,33.9203/-84.618
,,,,,,,,,,,168.9.35.18,Y,US,Marietta,34.0247/-84.5033
tribunademinas.com.br,86377,,,tribunademinas.com.br,86377,,,N,N,Y,96.31.90.150,Y,US,Tampa,27.9987/-82.5156
welectronics.com,86442,,,welectronics.com,86442,,,N,N,Y,65.254.231.114,Y,US,Burlington,42.5051/-71.2047
pokerstars.net,86467,,,pokerstars.net,86467,,,N,Y,N,77.87.180.156,N,GB,None,51.5/-0.13
colubris.com,86473,,,colubris.com,86473,,,N,N,P,15.200.2.21,Y,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.200.30.21,Y,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.200.30.22,Y,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.200.30.23,Y,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.200.30.24,Y,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,66.77.15.245,Y,US,None,38.0/-97.0
,,,,,,,,,,,15.192.45.138,N,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.192.45.139,N,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.216.110.21,N,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.216.110.22,N,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.216.110.139,N,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.216.110.140,N,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.192.45.21,N,US,Palo Alto,37.3762/-122.1826
,,,,,,,,,,,15.192.45.22,N,US,Palo Alto,37.3762/-122.1826
tinhteso.info,86476,,,tinhteso.info,86476,,,N,N,Y,115.146.127.215,Y,VN,None,16.0/106.0
pdftoword.org,86525,,,pdftoword.org,86525,,,N,N,Y,93.189.33.95,Y,ES,Madrid,40.4086/-3.6922
www.cairo7.co,,,,cairo7.co,86532,,,N,N,Y,144.76.219.84,Y,DE,None,51.0/9.0
skyvegas.com,86536,,,skyvegas.com,86536,,,N,N,Y,194.145.126.132,Y,GB,None,51.5/-0.13
happycampus.com,86637,,,happycampus.com,86637,,,N,N,Y,119.205.210.222,Y,KR,None,37.57/126.98
fineproxy.org,86761,,,fineproxy.org,86761,,,N,Y,N,162.159.250.4,N,US,San Francisco,37.7697/-122.3933
,,,,,,,,,,,162.159.251.4,N,US,San Francisco,37.7697/-122.3933
www.jfrj.jus.br,,,,jfrj.jus.br,86772,,,N,N,Y,200.142.110.17,Y,BR,Rio de Janeiro,-22.9/-43.2333
hunter-boot.com,86794,,,hunter-boot.com,86794,,,N,N,Y,193.47.83.85,Y,GB,None,51.5/-0.13
www.opensourcesolutions.es,,,,opensourcesolutions.es,86863,,,N,N,Y,181.224.131.251,Y,US,Chicago,41.85/-87.65
dongfanghong.com.cn,86925,,,dongfanghong.com.cn,86925,,,N,Y,N,116.255.222.147,N,CN,Taoshan,27.8456/120.4928
tweetarchivist.com,86945,,,tweetarchivist.com,86945,,,N,N,Y,50.63.202.2,Y,US,Scottsdale,33.6119/-111.8906
webcamp.fr,86948,,,webcamp.fr,86948,,,N,N,Y,212.51.177.130,Y,FR,Colombelles,49.2049/-0.2957
212.ua,86952,,,212.ua,86952,,,N,N,P,77.120.110.13,Y,UA,None,49.0/32.0
,,,,,,,,,,,77.120.110.14,Y,UA,None,49.0/32.0
,,,,,,,,,,,77.120.110.9,Y,UA,None,49.0/32.0
,,,,,,,,,,,77.120.110.7,N,UA,None,49.0/32.0
mobile4persian.com,86966,,,mobile4persian.com,86966,,,N,N,Y,176.10.37.81,Y,IS,None,65.0/-18.0
smartbuyglasses.com,86971,,,smartbuyglasses.com,86971,,,N,N,Y,67.192.91.112,Y,US,San Antonio,29.4889/-98.3987
wweek.com,86973,,,wweek.com,86973,,,N,N,Y,74.208.148.116,Y,US,Wayne,40.0548/-75.4083
eic-book.com,86988,,,eic-book.com,86988,,,N,N,Y,219.122.9.150,Y,JP,None,35.69/139.69
pushcv.com,86993,,,pushcv.com,86993,,,N,N,Y,23.235.227.226,Y,US,Tempe,33.4357/-111.9171
recruitingblogs.com,87016,,,recruitingblogs.com,87016,,,N,N,Y,184.168.221.26,Y,US,Scottsdale,33.6119/-111.8906
hirevue.com,87090,,,hirevue.com,87090,,,N,N,Y,173.203.164.232,Y,US,San Antonio,29.4889/-98.3987
www.movie4kproxy.com,,,,movie4kproxy.com,87126,,,Y,N,N,94.23.170.19,N,CZ,None,49.75/15.5
,,,,,,,,,,,94.23.170.67,N,CZ,None,49.75/15.5
movie4kproxy.com,87126,,,movie4kproxy.com,87126,,,Y,Y,N,94.23.170.67,N,CZ,None,49.75/15.5
,,,,,,,,,,,94.23.170.19,N,CZ,None,49.75/15.5
www.silkair.com,,,,silkair.com,87130,,,N,N,Y,23.58.241.33,Y,US,Cambridge,42.3626/-71.0843
vunet.fr,87178,,,vunet.fr,87178,,,N,N,Y,94.23.6.64,Y,FR,None,48.86/2.35
coast2coastmixtapes.com,87182,,,coast2coastmixtapes.com,87182,,,N,N,Y,50.62.139.141,Y,US,Scottsdale,33.6119/-111.8906
phomuaban.vn,87202,,,phomuaban.vn,87202,,,N,N,Y,112.213.94.119,Y,VN,Thanh Nguyen,9.8478/106.3456
a7ds3rod.com,87256,,,a7ds3rod.com,87256,,,N,N,P,184.168.221.22,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
gameinabottle.com,87258,,,gameinabottle.com,87258,,,N,N,Y,74.220.215.213,Y,US,Provo,40.2181/-111.6133
tepore.com,87315,,,tepore.com,87315,,,N,N,Y,116.91.143.113,Y,JP,Tokyo,35.685/139.7514
bsi-fuer-buerger.de,87340,,,bsi-fuer-buerger.de,87340,,,N,N,Y,194.95.177.86,Y,DE,Bielefeld,52.0333/8.5333
www.nigeriana.org,,,,nigeriana.org,87363,,,N,Y,N,108.166.165.162,N,US,Dallas,32.7825/-96.8207
secretsresorts.com,87387,,,secretsresorts.com,87387,,,N,Y,N,,,,,
namecheck.co.kr,87410,,,namecheck.co.kr,87410,,,N,N,Y,203.234.219.153,Y,KR,None,37.57/126.98
megaproxy.com,87464,,,megaproxy.com,87464,,,N,Y,N,,,,,
mascotasrevista.com,87469,,,mascotasrevista.com,87469,,,N,N,Y,173.198.247.59,Y,US,Latham,42.7526/-73.7804
www.android-france.fr,,,,android-france.fr,87486,,,N,N,Y,94.247.233.184,Y,FR,None,48.86/2.35
www.ime.nu,,,,ime.nu,87504,,,N,N,Y,61.211.230.18,Y,JP,None,35.69/139.69
kalsey.in,87519,,,kalsey.in,87519,,,N,N,Y,192.210.134.90,Y,US,Buffalo,42.9864/-78.7279
allhardsextube.com,87555,,,allhardsextube.com,87555,,,N,Y,N,154.46.35.19,N,US,None,38.0/-97.0
